hostel_name,City,latitude,longitude,feature,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security
Seekers Girls Accommodation,Indore,22.7232923,75.8879573,"For Girls,NonAC,Wifi,Mess",3,"Old Palasia, Indore",5Votes,0731 - 2490999,9893873180,"Old Palasiya 25, Mahatma Gandhi Rd, Old Palasiya, New Palasia Extension, Indore, Madhya Pradesh 452001, India",NA,"5,000","4,700",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shakuntla For Girls,Indore,22.6867358,75.8655812,"For Girls,NonAC,Wifi,Mess",3.4,"Bhawarkuan, Indore",7Votes,9893166165,9753155637,"16 b, Bhawarkua Main Rd, near Hello Point, Brahmapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",NA,NA,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shanti Niketan Girls Hostel,Indore,22.6949206,75.8665044,"For Girls,AC,Wifi,Mess",3.8,"Bhawarkuan, Indore",9Votes,9009233916,9009233916,"158, Bhawarkua Main Rd, Ashok Nagar, Indore, Madhya Pradesh 452001, India",9000,6500,6000,For Girls,AC,Wifi,Mess,Cleaning,Security
Sharda Kunj,Indore,22.7220514,75.8618483,"For Girls,NonAC,Wifi,Mess",2.5,"Jail Road, Indore",2Votes,0731 - 2543441,9425954758,"Kachhi Mohalla, Jail Road, Jail Road, Indore GPO, Indore, Madhya Pradesh 452003, India",NA,NA,"1,700",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shivalay For Boys,Indore,22.7628003,75.8824259,"For Boys,NonAC,Wifi,Mess",4.6,"Vijay Nagar, Indore",9Votes,9993773990,9993773990,"Plot No 5, near Life Care Hospital, Scheme Number 78, Part II, Vijay Nagar, Indore, Madhya Pradesh 452010, India",9000,6500,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Shivalya For Girls,Indore,22.7143561,75.8890087,"For Girls,NonAC,Wifi,Mess",3.4,"Geeta Bhawan, Indore",5Votes,0731 - 2497225,0731 - 2497225,"PV7Q+PJR, Lalaram Nagar, Indore, Madhya Pradesh 452001, India",NA,5000,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shivani For Girls,Indore,22.7110389,75.8756442,"For Girls,NonAC,Wifi,Mess",3,"Madhumilan Square, Indore",7Votes,8103313325,8103313325,"200, RNT Marg, opposite no 2 school, Chhawni, Indore, Madhya Pradesh 452001, India",NA,NA,"4,300",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shivay Girls Hostel,Indore,22.6845065,75.8644601,"For Girls,NonAC,Wifi,Mess",3.9,"Bhawarkuan, Indore",6Votes,8349908802,7509068665,"Bhawarkua, Shivampuri Colony, Indore, Madhya Pradesh 452014, India",11000,7000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shivgaurika For Girls,Indore,22.750774,75.8992038,"For Girls,NonAC,Wifi,Mess",4.5,"Vijay Nagar, Indore",3Votes,0731 - 4967412,9827222348,"142, Bhagyashree Colony, Indore, Madhya Pradesh 452010, India",NA,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shradha For Girls,Indore,22.7597466,75.8672071,"For Girls,NonAC,Wifi,Mess",4,"Veena Nagar, Indore",8Votes,731 - 2456788,731 - 2456788,"28, Veena Nagar Main Rd, Veena Nagar, Sukhlia, Indore, Madhya Pradesh 452003, India",10000,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shradha Girls Residency,Indore,22.6919473,75.8660795,"For Girls,NonAC,Wifi,Mess",2.6,"Bhawarkuan, Indore",10Votes,9009076111,9926146876,"2-3, Scheme No. 44, Bhawarkua Square, AB Rd, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",NA,5200,4800,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Awesome For Boys,Indore,22.6841316,75.8642088,"For Boys,NonAC,Wifi,Mess",3.5,"Bhawarkuan, Indore",23Votes,9993332176,9981912176,"1, AB Rd, Opposite Pipliyana, Near Brahampuri Colony, Shivampuri Colony, Indore, Madhya Pradesh 452001, India",NA,NA,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Shree Balaji Homes,Indore,22.6934813,75.86727,"For Boys,NonAC,Wifi,Mess",3.5,"Bhawarkuan, Indore",7Votes,731 - 2456788,731 - 2456788,"Bhawarkua Main Rd, Aditya Nagar, Vishnu Puri Colony, Indore, Madhya Pradesh, India",7500,6500,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
